width,height,algo,mode,seed,braid,reached,steps,cost,replans,nodes,runtime_sec
51,51,bfs,fog,0,0.1,True,846,846,778,317669,1.1437606811523438
51,51,dfs,fog,0,0.1,True,846,846,778,477966,1.742152214050293
51,51,ucs,fog,0,0.1,True,846,846,778,317744,1.1983342170715332
51,51,astar,fog,0,0.1,True,846,846,778,317257,1.2721283435821533
51,51,greedy,fog,0,0.1,True,846,846,778,317252,1.217078447341919
51,51,bfs,no-fog,0,0.1,True,324,324,0,1080,0.00299835205078125
51,51,dfs,no-fog,0,0.1,True,324,324,0,456,0.0009942054748535156
51,51,ucs,no-fog,0,0.1,True,324,324,0,1080,0.0030028820037841797
51,51,astar,no-fog,0,0.1,True,324,324,0,946,0.002031564712524414
51,51,greedy,no-fog,0,0.1,True,324,324,0,505,0.002032041549682617
